"Study.ID.1","inform_mgt","indicators.linked.to.management.actions.","mgt_interventions","mgt_potential","mgt_indicators","management_methods"
"NTL_2019_Vietnam","3","No","MPA/MPA network; Restoration/coral gardening; Other: - ICZM; co-management with the involvement of local communities, the state and other stakeholders; environmental impact assessment; marine environmental pollution control","0","No","Interpretation of overall/individual indicator results"
"TP_2018_Indonesia","2","Yes","Restoration/coral gardening; land-based pollution/sedimentation; Other: - Fisheries management and law enforcement; Monitoring bleaching and recovery support; tourism development","10 ","Yes","query/criteria based approach"
"FJ_2022_SWIO","5","No","","0","No",""
"TA_2008_Philippines","3","Yes","Other: - awareness programs for users of the park; free of fishing pressure and other anthropogenic impacts;increasing the role of dive boat operators and dive masters in enforcing the park rules and regulations among their guests","2 ","Yes","Interpretation of overall/individual indicator results"
"2015_Malaysia","5","No","","0","No",""
"JH_2013_Malaysia","3","No","Other: - programme of septic tank desludging and maintenance; improve management of development on the islands particularly around resilience sites
","0","No","Interpretation of overall/individual indicator results"
"JK_2009_Kenya","3","No","Other: - improve monitoring programmes; clear buffer zones around NTZs of all destructive fishing gear and methods; enhance fishing in sites with difficulties in accessibility to ease pressure in overfished sites","0","No","Interpretation of overall/individual indicator results"
"DO_2008_Amirantes","3","No","land-based pollution/sedimentation; Other: - preventing unregulated fishing; Strict controls on utilization and pollution from boats; limitation of fishing and boating damage; monitoring of runoff and pollution from land; establish management zones based on representative criteria; Establish a simple but effective monitoring programme","0","No","Interpretation of overall/individual indicator results"
"GS_2009_PhoenixIsl","5","No","","0","No",""
"ET_2022_Bazaruto","3","No","Fishing gear restrictions; Other: - promote research on coral genetics to map sources of coral recruits; draft and circulate a code of conduct of best practice diving protocols; all development along the coast to be well set back from the shoreline; strand and littoral forest vegetation to be maintained intact so far as possible; mats to be laid along all beach access points; use of gloves by snorkellers and divers to be prohibited; Establish a NTA; discharge of wastewater into the sea to be prohibited - wastewater management to be planned and implemented; diving should be limited pending the recommendations of a carrying capacity study; establishing as a strictly protected area (no activities); avoid depletion and contamination of water resources; careful guidance to avoid the potential negative impacts of increased sedimentation, pollution, and disease; policy of no anchoring by dive boats; install moorings for dive and snorkel boats; restrict recreational diving activities; careful monitoring and management of tourism activities; prohibit recreational fishing; monitoring to track recovery; banning use of fins by snorkellers; coastal development to have comprehensive environmental management plan that includes wastewater treatment","0","No","Interpretation of overall/individual indicator results"
"DO_2011_Mafia","3","Yes","Fishing gear restrictions; Other: - full protection; watershed management and protection in particular the mangroves of the Delta,","2 ","Yes","focus on two main resilience factors that were found to influence reefs"
"BC_2019_Djibouti","1","No","MSP","0","No","Marine Spatial Planning"
"GG_2009_Pemba","3","Yes","MPA/MPA network; Fishing gear restrictions; Other: - Buffer zones where limited fishing activity is allowed around these no-take zones should also be established; restrictions of destructive fishing gear such as beach seining with small mesh sizes or dynamite fishing should be controlled or banned; restrictions on mesh sizes and species extraction; crown-of-thorns starfish monitoring with possible removal programmes; reefballs as artificial substrate in areas dominated by unconsolidated rubble","unclear","Yes","Interpretation of overall/individual indicator results"
"SA_2011_Indonesia","2","Yes","MPA/MPA network; Fishing gear restrictions; Fish catch restrictions; Other: - measures that can restrict or prohibit reef physical damage caused by anchoring; temporarily set as a tourism zone; buffer zone reserve; fishing regulations that embrace the management of grazing process ","0","Yes","scenario-based approach"
"PIFSC_2014_Hawaii","2","Yes","land-based pollution/sedimentation; Other: - marine resource stewardship","5 ","Yes","comparing locally manageable resilience factors with other factors"
"JM_2019_Maui","2","Yes","land-based pollution/sedimentation; Other: - Prioritize Conservation; Monitor Fishing Pressure; Manage Water quality","6 ","Yes","query/criteria based approach"
"AB_2010_Bonaire","5","No","","0","No",""
"AB_2010_CaymanIsl","5","No","","0","No",""
"RS_2017_Maldives","4","No","","0","No",""
"RS_2016_Palmyra","5","No","","0","No",""
"JM_2012_Indonesia","2","Yes","land-based pollution/sedimentation; Other: - NTAs; reduce anthropogenic threats ","16 ","Yes","management influence scores"
"RS_2016_Chuuk","3","Yes","MPA/MPA network; Restoration/coral gardening; land-based pollution/sedimentation; Other: - Control destructive/ dynamite fishing; Manage over fishing (especially of herbivores)-; Monitor & remove crown of thorns starfishes; prevent anchor damage; confirm if fish spawning aggregation; Manage for tourism","2 ","Yes","Interpretation of overall/individual indicator results"
"RS_2010_Mozambique","2","No","","3 ","No","management influence scores"
"RS_2017_Palau","3","No","MPA/MPA network; land-based pollution/sedimentation; Other:  - eliminate breakage of coral colonies and selective, destructive, or overfishing,","0","No","Interpretation of overall/individual indicator results"
"RS_2011_Palau","2","Yes","MPA/MPA network","7 ","Yes","comparison of antrhopogenic stress, management feasibility, recovery, resistance potential"
"RS_2014_SavuSea","3","No","MPA/MPA network; Fishing gear restrictions; Other: - cessation of blast fishing; revision of the zoning plan to designate this as a no-take area; Bleaching monitoring; higher levels of protection to the beaches and reefs","0","No","Interpretation of overall/individual indicator results"
"RS_2011_Wakatobi","2","Yes","Other: - Maintain protection and manage effectively to reduce threats","6 ","Yes","comparison of antrhopogenic stress, management feasibility, recovery, resistance potential"
