"","Study.ID.1","number","action","indicators","action2","indicator_combination_stand"
"94","GW_2019_PuertoRico","Indicator.7.Action.s.","
disease management","
coral cover; disease prevalence","disease management","
coral cover, disease prevalence"
"28","DO_2011_Mafia","Indicator.2.Action.s.","addressing the threat of migrant fishing and the use of high-efficiency gears such as ring nets","fish populations particularly herbivores","restrictions of destructive fishing","fish populations particularly herbivores"
"41","MP_2015_Riung","Indicator.2.Action.s.","limitation of destructive activities, domestic waste management and treatment","low scores of substrate availability","restrictions of destructive fishing","low scores of substrate availability"
"50","GG_2009_Pemba","Indicator.3.Action.s.","restrictions of destructive fishing gear, mesh sizes and species extraction","coral cover, quality of ecological interactions, large colonies and coral recruitment, mortality of coral recruits","restrictions of destructive fishing","coral cover, quality of ecological interactions, large colonies, coral recruitment, mortality of coral recruits"
"57","AM_2019_Wakatobi","Indicator.3.Action.s.","bleaching monitoring and supporting recovery","low bleaching resistance and low herbivore biomass","bleaching monitoring","low bleaching resistance, low herbivore biomass"
"67","TP_2018_Indonesia","Indicator.4.Action.s.","bleaching monitoring and supporting recovery","low bleaching resistance & low herbivore afg biomass","bleaching monitoring","low bleaching resistance, low herbivore afg biomass"
"74","JH_2017_Indonesia","Indicator.4.Action.s.","bleaching monitoring and supporting recovery","medium/low bleaching resistance, medium/low herbivore biomass, and high/very high coral cover (4)","bleaching monitoring","medium/low bleaching resistance, medium/low herbivore biomass,, high/very high coral cover (4)"
"76","JM_2015_CNMI","Indicator.4.Action.s.","bleaching monitoring and supporting recovery","low bleaching resistance and low herbivore afg biomass","bleaching monitoring","low bleaching resistance, low herbivore afg biomass"
"90","EM_2012_Micronesia","Indicator.6.Action.s.","surveys during upcoming bleaching events to explore the sensitivity of coral species to bleaching","high coral diversity","bleaching monitoring","high coral diversity"
"93","GW_2019_PuertoRico","Indicator.6.Action.s.","bleaching management","herbivore fish biomass; bleaching resistance","bleaching monitoring","herbivore fish biomass, bleaching resistance"
"51","SA_2011_Indonesia","Indicator.3.Action.s.","buffer zone reserve","coral cover relatively high; low unsetlable substrate; less favourable for fishing","buffer zone","coral cover relatively high, low unsetlable substrate, less favourable for fishing"
"84","DO_2014_Myanmar","Indicator.5.Action.s.","buffer zones for application of fishing gear","local currents and likelihood of entanglement","buffer zone","local currents, likelihood of entanglement"
"10","RS_2011_Palau","Indicator.1.Action.s.","increase management effort and decrease level of anthropogenic stress","high recovery and protection value and moderate conflict with alternative uses","management of anthropogenic threats","high recovery, protection value, moderate conflict with alternative uses"
"11","RS_2011_Wakatobi","Indicator.1.Action.s.","maintain protection and manage effectively to maintain low level of anthropogenic stress","high protection value (mpa yes/no) and low threat and high management feasibility, mod-high resistance and recovery potential","management of anthropogenic threats","high protection value (mpa yes/no), low threat, high management feasibility, mod-high resistance, recovery potential"
"35","RS_2011_Palau","Indicator.2.Action.s.","maintain low level of anthropogenic stress","high recovery and protection value and low conflict with alternative uses","management of anthropogenic threats","high recovery, protection value, low conflict with alternative uses"
"36","RS_2011_Wakatobi","Indicator.2.Action.s.","improve management of anthropogenic threats","high protection value, high resistance and recovery potential, moderate threat","management of anthropogenic threats","high protection value, high resistance, recovery potential, moderate threat"
"54","RS_2011_Palau","Indicator.3.Action.s.","capacity and effort to manage anthropogenic threats needs to be improved","high recovery and protection value, threat level high and management feasibility low, resilience low","management of anthropogenic threats","high recovery, protection value, threat level high, management feasibility low, resilience low"
"58","DO_2014_Myanmar","Indicator.3.Action.s.","management of localized impacts","incidence of disease","management of anthropogenic threats","incidence of disease"
"73","DO_2014_Myanmar","Indicator.4.Action.s.","management of localized impacts","evidence of rubble/physical damage","management of anthropogenic threats","evidence of rubble/physical damage"
"81","RS_2011_Wakatobi","Indicator.5.Action.s.","increase management to reduce threats","moderate resilience and recovery potential, low threat level","management of anthropogenic threats","moderate resilience, recovery potential, low threat level"
"21","NE_2015_TalimBay","Indicator.1.Action.s.","regulation of the construction of hard structures","sedimentation and nutrient loading","coastal development","sedimentation, nutrient loading"
"59","JH_2017_Indonesia","Indicator.3.Action.s.","coastal development","very high resilience potential and the highest category of coastal development threat (high or medium) (1)","coastal development","very high resilience potential, the highest category of coastal development threat (high, medium) (1)"
"80","JM_2019_Maui","Indicator.5.Action.s.","manage nearby development","medium-high or high relative resilience and new coastal development","coastal development","medium-high, high relative resilience, new coastal development"
"1","TP_2018_Indonesia","Indicator.1.Action.s.","conservation","high or low resilience potential; currently outside established no-take mpas","conservation","high, low resilience potential, currently outside established no-take mpas"
"7","JM_2019_Maui","Indicator.1.Action.s.","prioritize conservation","medium-high or high relative resilience and are not currently within marine managed areas","conservation","medium-high, high relative resilience, are not currently within marine managed areas"
"15","AM_2019_Wakatobi","Indicator.1.Action.s.","conservation - institutional strengthening of community groups and regulatory evaluation","relative potential resilience high and outside mpa","conservation","relative potential resilience high, outside mpa"
"17","JH_2017_Indonesia","Indicator.1.Action.s.","conservation e.g. mpas","very high resilience potential (6) or relatively favourable bleaching projections (1)","conservation","very high resilience potential (6), relatively favourable bleaching projections (1)"
"19","JM_2015_CNMI","Indicator.1.Action.s.","conservation","high or low resilience potential and are currently outside established no-take mpas","conservation","high, low resilience potential, are currently outside established no-take mpas"
"8","JM_2012_Indonesia","Indicator.1.Action.s.","nta","mpa, high resilience","MPA/NTA","mpa, high resilience"
"12","EM_2012_Micronesia","Indicator.1.Action.s.","mpa network","high resilience scores","MPA/NTA","high resilience scores"
"14","MS_2011_Metundo","Indicator.1.Action.s.","mpa/nta","total fish abundance and acropora cover","MPA/NTA","total fish abundance, acropora cover"
"20","DO_2011_Madagascar","Indicator.1.Action.s.","mpa","diversity of corals and fish; clear water;  fish populations; endemic coral populations","MPA/NTA","diversity of corals, fish, clear water,  fish populations, endemic coral populations"
"25","MC_2014_Thailand","Indicator.1.Action.s.","no-take zone","high resilience sites, with good coral populations that are not already fully protected","MPA/NTA","high resilience sites, with good coral populations that are not already fully protected"
"33","JM_2012_Indonesia","Indicator.2.Action.s.","nta","medium  resilience  score, fishing  pressure    herbivore,  piscivore  fish  abundance","MPA/NTA","medium  resilience  score, fishing  pressure    herbivore,  piscivore  fish  abundance"
"46","MC_2014_Thailand","Indicator.2.Action.s.","no-take zone","highest  abundance of  acroporidae  colonies","MPA/NTA","highest  abundance of  acroporidae  colonies"
