,Study.ID.1,number,action,indicators,action2,indicator_combination_stand,indicator_combination_stand2
94,GW_2019_PuertoRico,Indicator.7.Action.s.,"
disease management","
coral cover; disease prevalence",disease management,"
coral cover, disease prevalence","coral cover, disease prevalence"
28,DO_2011_Mafia,Indicator.2.Action.s.,addressing the threat of migrant fishing and the use of high-efficiency gears such as ring nets,fish populations particularly herbivores,restrictions of destructive fishing,fish populations particularly herbivores,fish abundance
41,MP_2015_Riung,Indicator.2.Action.s.,"limitation of destructive activities, domestic waste management and treatment",low scores of substrate availability,restrictions of destructive fishing,low scores of substrate availability,low substrate availability
50,GG_2009_Pemba,Indicator.3.Action.s.,"restrictions of destructive fishing gear, mesh sizes and species extraction","coral cover, quality of ecological interactions, large colonies and coral recruitment, mortality of coral recruits",restrictions of destructive fishing,"coral cover, quality of ecological interactions, large colonies, coral recruitment, mortality of coral recruits","coral cover, quality of ecological interactions, large colonies, coral recruitment, mortality of coral recruits"
57,AM_2019_Wakatobi,Indicator.3.Action.s.,bleaching monitoring and supporting recovery,low bleaching resistance and low herbivore biomass,bleaching monitoring,"low bleaching resistance, low herbivore biomass","low bleaching resistance, low herbivore biomass"
67,TP_2018_Indonesia,Indicator.4.Action.s.,bleaching monitoring and supporting recovery,low bleaching resistance & low herbivore afg biomass,bleaching monitoring,"low bleaching resistance, low herbivore afg biomass","low bleaching resistance, low herbivore biomass"
74,JH_2017_Indonesia,Indicator.4.Action.s.,bleaching monitoring and supporting recovery,"medium/low bleaching resistance, medium/low herbivore biomass, and high/very high coral cover (4)",bleaching monitoring,"medium/low bleaching resistance, medium/low herbivore biomass,, high/very high coral cover (4)","medium/low bleaching resistance, medium/low herbivore biomass, high/very high coral cover"
76,JM_2015_CNMI,Indicator.4.Action.s.,bleaching monitoring and supporting recovery,low bleaching resistance and low herbivore afg biomass,bleaching monitoring,"low bleaching resistance, low herbivore afg biomass","low bleaching resistance, low herbivore biomass"
90,EM_2012_Micronesia,Indicator.6.Action.s.,surveys during upcoming bleaching events to explore the sensitivity of coral species to bleaching,high coral diversity,bleaching monitoring,high coral diversity,high coral diversity
93,GW_2019_PuertoRico,Indicator.6.Action.s.,bleaching management,herbivore fish biomass; bleaching resistance,bleaching monitoring,"herbivore fish biomass, bleaching resistance","low bleaching resistance, low herbivore biomass"
51,SA_2011_Indonesia,Indicator.3.Action.s.,buffer zone reserve,coral cover relatively high; low unsetlable substrate; less favourable for fishing,buffer zone,"coral cover relatively high, low unsetlable substrate, less favourable for fishing","high coral cover, low unsetlable substrate, less favourable for fishing"
84,DO_2014_Myanmar,Indicator.5.Action.s.,buffer zones for application of fishing gear,local currents and likelihood of entanglement,buffer zone,"local currents, likelihood of entanglement","local currents, likelihood of entanglement"
10,RS_2011_Palau,Indicator.1.Action.s.,increase management effort and decrease level of anthropogenic stress,high recovery and protection value and moderate conflict with alternative uses,management of anthropogenic threats,"high recovery, protection value, moderate conflict with alternative uses","high recovery, mpa, moderate conflict with alternative uses"
11,RS_2011_Wakatobi,Indicator.1.Action.s.,maintain protection and manage effectively to maintain low level of anthropogenic stress,"high protection value (mpa yes/no) and low threat and high management feasibility, mod-high resistance and recovery potential",management of anthropogenic threats,"high protection value (mpa yes/no), low threat, high management feasibility, mod-high resistance, recovery potential","mpa, low threat, high management feasibility, med-high resistance, recovery potential"
35,RS_2011_Palau,Indicator.2.Action.s.,maintain low level of anthropogenic stress,high recovery and protection value and low conflict with alternative uses,management of anthropogenic threats,"high recovery, protection value, low conflict with alternative uses","high recovery, mpa, low conflict with alternative uses"
36,RS_2011_Wakatobi,Indicator.2.Action.s.,improve management of anthropogenic threats,"high protection value, high resistance and recovery potential, moderate threat",management of anthropogenic threats,"high protection value, high resistance, recovery potential, moderate threat","mpa, high resistance, recovery potential, moderate threat"
54,RS_2011_Palau,Indicator.3.Action.s.,capacity and effort to manage anthropogenic threats needs to be improved,"high recovery and protection value, threat level high and management feasibility low, resilience low",management of anthropogenic threats,"high recovery, protection value, threat level high, management feasibility low, resilience low","high recovery, mpa, threat level high, management feasibility low, resilience low"
58,DO_2014_Myanmar,Indicator.3.Action.s.,management of localized impacts,incidence of disease,management of anthropogenic threats,incidence of disease,incidence of disease
73,DO_2014_Myanmar,Indicator.4.Action.s.,management of localized impacts,evidence of rubble/physical damage,management of anthropogenic threats,evidence of rubble/physical damage,evidence of rubble/physical damage
81,RS_2011_Wakatobi,Indicator.5.Action.s.,increase management to reduce threats,"moderate resilience and recovery potential, low threat level",management of anthropogenic threats,"moderate resilience, recovery potential, low threat level","moderate resistance, recovery potential, low threat level"
21,NE_2015_TalimBay,Indicator.1.Action.s.,regulation of the construction of hard structures,sedimentation and nutrient loading,coastal development,"sedimentation, nutrient loading","sedimentation, nutrient loading"
