raw_interventions,standardised_mgt_interventions,standardised_mgt_interventions_updated
Maintain protection and manage effectively to reduce threats,zoning and protection,Maintain protection and manage effectively to reduce threats
Prioritize Conservation,zoning and protection,Prioritize Conservation
enhance fishing in sites with difficulties in accessibility to ease pressure in overfished sites,zoning and protection,enhance fishing in sites with difficulties in accessibility
‘wise use’ protection status to minimize damage and at  maximize benefits,zoning and protection,Maintain protection and manage effectively to reduce threats
reef protection,zoning and protection,Maintain protection and manage effectively to reduce threats
establish management zones based on representative criteria,zoning and protection,Management zones
zoning,zoning and protection,Management zones
Afforestation,Afforestation,protection and rehabilitation of coastal vegetation
Algae removal,algae removal,algae removal
clearing of macroalgae/cyanobacteria,algae removal,algae removal
small scale management trials e.g. of clearing macroalgae/cyanobacteria,algae removal,algae removal
improve management of development on the islands particularly around resilience sites,regulate coastal development,regulate coastal development
coastal construction should be strictly regulated and follow the construction guidelines. The guidelines should become law,regulate coastal development,regulate coastal development
Regulation of the construction of hard structures,regulate coastal development,Regulation of the construction of hard structures
all development along the coast to be well set back from the shoreline,regulate coastal development,development along the coast to be well set back from the shoreline
property development guidelines,regulate coastal development,guidelines and best practices for coastal development
guidelines and best practices for coastal and foreshore development planning,regulate coastal development,guidelines and best practices for coastal development
coastal development to have comprehensive environmental management plan that includes wastewater treatment,regulate coastal development,environmental impact assessment
reallocating and restricting tourist activities,monitoring and management of tourism activities,restrict tourist activities
alleviating physical damage from divers,monitoring and management of tourism activities,management of tourism activities
Manage for tourism,monitoring and management of tourism activities,management of tourism activities
boating and tourism restrictions,monitoring and management of tourism activities,restrict tourist activities
restrict recreational diving activities,monitoring and management of tourism activities,restrict tourist activities
careful monitoring and management of tourism activities,monitoring and management of tourism activities,management of tourism activities
buoys/markers (no-anchoring),moorings and no-anchor zones,moorings and no-anchor zones
control of anchor damage,moorings and no-anchor zones,moorings and no-anchor zones
measures that can restrict or prohibit reef physical damage caused by anchoring,moorings and no-anchor zones,moorings and no-anchor zones
prevent anchor damage,moorings and no-anchor zones,moorings and no-anchor zones
areas without boat anchors,moorings and no-anchor zones,moorings and no-anchor zones
ban anchoring in sensitive areas,moorings and no-anchor zones,moorings and no-anchor zones
policy of no anchoring by dive boats,moorings and no-anchor zones,moorings and no-anchor zones
moorings and no‐anchor zones,moorings and no-anchor zones,moorings and no-anchor zones
install moorings for dive and snorkel boats,moorings and no-anchor zones,moorings and no-anchor zones
build boat moorings,moorings and no-anchor zones,moorings and no-anchor zones
moorings and no-anchoring areas,moorings and no-anchor zones,moorings and no-anchor zones
deployment of artificial substrates,artificial reef installation,artificial reef installation
reefballs as artificial substrate in areas dominated by unconsolidated rubble,artificial reef installation,artificial reef installation
